taxon_group,verbatim_name,name,"name to use (if different from ""name"")",name comment field,Comment,notes,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Neolenticulina variabilis,Neolenticulina variabilis,,,,"in PBDB, but order and family differ to WoRMS",,,Neolenticulina,,,,variabilis,,,,,1920,Neolenticulina,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Neorotalia spp.,Neorotalia spp.,,,,"in PBDB, so will be classified correctly",,,Neorotalia,,,,spp.,,,,,1925,Neorotalia,genus,,112346,Calcarinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodogenerina spp.,Nodogenerina spp.,,,"in PBDB, but unaccepted;  Accepted as Siphonodosaria Silvestri, 1924",,,,Nodogenerina,,,,spp.,,,,,1945,Nodogenerina,genus,,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosarella robusta,Nodosarella robusta,,,,"in PBDB, so will be classified correctly",,,Nodosarella,,,,robusta,,,,,1951,Nodosarella,genus,,355065,Ellipsoidinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosarella sp.,Nodosarella sp.,,,,"in PBDB, so will be classified correctly",,,Nodosarella,,,,sp.,,,,,1951,Nodosarella,genus,,355065,Ellipsoidinidae,429590,Polymorphinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosaria,Nodosaria,Nodosaria sp.,,,"in PBDB, so will be classified correctly",,,Nodosaria,,,,sp.,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosaria albatrossi,Nodosaria albatrossi,,,,"in PBDB, so will be classified correctly",,,Nodosaria,,,,albatrossi,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosaria aspera,Nodosaria aspera,,,,"in PBDB, so will be classified correctly",,,Nodosaria,,,,aspera,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosaria longiscata,Nodosaria longiscata,,,,"in PBDB, so will be classified correctly",,,Nodosaria,,,,longiscata,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Nodosaria sp.,Nodosaria sp.,,,,"in PBDB, so will be classified correctly",,,Nodosaria,,,,sp.,,,,,1952,Nodosaria,genus,,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
